nombre,camara,legislatura,sigla_partido,tipo_registro,fuente_url,fuente_tipo,metodo,nivel_confianza
"Abdala, Washington",senado,46,PC,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Abreu, Sergio",senado,46,PN,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Agazzi, Ernesto",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Aguirre Ramírez, Gonzalo",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Aguirrezabala, Martín",senado,46,PC,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-08-02&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Alcorta, Ricardo",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-06-07&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Alfie, Isaac",senado,46,PC,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Amaro Corrado, Juan Justo",senado,46,PC,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Amorín, José",senado,46,PC,integrante_temporal,https://parlamento.gub.uy/camarasycomisiones/legisladores/1044,manual,biografia,alto
"Andújar, José",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-05-09&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Antía, Enrique",senado,46,PN,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Antognazza, Milton",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-09-13&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Arana, Mariano",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Arismendi, Marina",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Astori, Danilo",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
